animal_name,Class_Name
aardvark,Mammal
aardwolf,Mammal
african_elephant,Mammal
alligator,Reptile
alpaca,Mammal
antelope,Mammal
armadillo,Mammal
asian_elephant,Mammal
axolotl,Amphibian
aye-aye,Mammal
baboon,Mammal
bald_eagle,Bird
bali_tiger,Mammal
balinese_tiger,Mammal
bass,Fish
bat,Mammal
bear,Mammal
bengal_tiger,Mammal
bilby,Mammal
binturong,Mammal
bison,Mammal
black_rhinoceros,Mammal
blue_whale,Mammal
boar,Mammal
bonobo,Mammal
bowhead_whale,Mammal
buffalo,Mammal
calf,Mammal
capybara,Mammal
caracal,Mammal
carp,Fish
caspiantiger,Mammal
cassowary,Bird
cat,Mammal
catfish,Fish
cavy,Mammal
chameleon,Reptile
cheetah,Mammal
cheetah_lizard,Reptile
chicken,Bird
chimpanzee,Mammal
chinchilla,Mammal
chipmunk,Mammal
chub,Fish
civet,Mammal
clam,Invertebrate
coati,Mammal
common_porpoise,Mammal
common_seal,Mammal
cow,Mammal
crab,Invertebrate
crayfish,Invertebrate
crocodile,Reptile
crow,Bird
deer,Mammal
desert_hedgehog,Mammal
dhole,Mammal
dingo,Mammal
dog,Mammal
dogfish,Fish
dolphin,Mammal
dove,Bird
dromedary,Mammal
dromedary_cavy,Mammal
dromedary_jaguar,Mammal
duck,Bird
dugong,Mammal
echidna,Mammal
elephant,Mammal
elephant_bee,Bug
elephant_seal,Mammal
emu,Bird
european_hedgehog,Mammal
fennec_fox,Mammal
ferret,Mammal
flamingo,Bird
flea,Bug
fossa,Mammal
fox,Mammal
frog,Amphibian
fruitbat,Mammal
galago,Mammal
gaur,Mammal
gazelle,Mammal
giant_armadillo,Mammal
giant_panda,Mammal
gibbon,Mammal
giraffe,Mammal
giraffe_snake,Reptile
gnat,Bug
goat,Mammal
gorilla,Mammal
gorilla_falcon,Bird
gray_whale,Mammal
guanaco,Mammal
guinea pig,Mammal
guinea_pig,Mammal
gull,Bird
haddock,Fish
hamster,Mammal
hare,Mammal
hawk,Bird
hedgehog,Mammal
hedgehog_bat,Mammal
herring,Fish
hindu_porcupine,Mammal
hippopotamus,Mammal
honey_badger,Mammal
honeybee,Bug
horse,Mammal
housefly,Bug
human,Mammal
humpback_whale,Mammal
hyena,Mammal
hyrax,Mammal
ibex,Mammal
iguana,Reptile
iguana_moose,Mammal
indian_elephant,Mammal
indian_rhinoceros,Mammal
indian_tiger,Mammal
indochinese_tiger,Mammal
jaguar_octopus,Invertebrate
jaguarundi,Mammal
java_tiger,Mammal
javan_rhinoceros,Mammal
javan_tiger,Mammal
kangaroo,Mammal
kangaroo_grouse,Bird
kangaroo_rat,Mammal
killer_whale,Mammal
kinkajou,Mammal
kiwi,Bird
kiwi_bird,Bird
koala,Mammal
koala_hawk,Bird
ladybird,Bug
lark,Bird
lemming,Mammal
lemur,Mammal
leopard,Mammal
lion,Mammal
lion_fish,Fish
lizard,Reptile
llama,Mammal
lobster,Invertebrate
lynx,Mammal
malayan_tiger,Mammal
manatee,Mammal
maned_wolf,Mammal
marmoset,Mammal
marmot,Mammal
marten,Mammal
meerkat,Mammal
mink,Mammal
mole,Mammal
mongoose,Mammal
moth,Bug
mouse,Mammal
narwhal,Mammal
newt,Amphibian
nighthawk,Bird
numbat,Mammal
ocelot,Mammal
octopus,Invertebrate
okapi,Mammal
opossum,Mammal
orangutan,Mammal
oryx,Mammal
ostrich,Bird
otter,Mammal
owl,Bird
panda_eagle,Mammal
pangolin,Mammal
parakeet,Bird
parrot,Bird
parrot_penguin,Bird
peacock,Bird
peccary,Mammal
penguin,Bird
pheasant,Bird
pig,Mammal
pika,Mammal
pike,Fish
piranha,Fish
pitviper,Reptile
platypus,Mammal
polar_bear,Mammal
polecat,Mammal
pony,Mammal
porcupine,Mammal
porpoise,Mammal
potoroo,Mammal
puma,Mammal
pussycat,Mammal
quokka,Mammal
quoll,Mammal
rabbit,Mammal
raccoon,Mammal
rat,Mammal
ratel,Mammal
red_panda,Mammal
reindeer,Mammal
rhea,Bird
rhinoceros,Mammal
right_whale,Mammal
ring-tailed_lemur,Mammal
salamander,Amphibian
scorpion,Invertebrate
sea_lion,Mammal
sea_otter,Mammal
seahorse,Fish
seal,Mammal
sealion,Mammal
seasnake,Reptile
seawasp,Invertebrate
serval,Mammal
sheep,Mammal
shrimp,Invertebrate
siberian_tiger,Mammal
skimmer,Bird
skua,Bird
sloth,Mammal
sloth_frog,Amphibian
slowworm,Reptile
slug,Invertebrate
snake,Reptile
sole,Fish
south_china_tiger,Mammal
sparrow,Bird
sperm_whale,Mammal
spotted_skunk,Mammal
squirrel,Mammal
squirrel_monkey,Mammal
starfish,Invertebrate
stingray,Fish
stoat,Mammal
sugar_glider,Mammal
sumatran_rhinoceros,Mammal
sunda_island_tiger,Mammal
swan,Bird
takin,Mammal
tamandua,Mammal
tamarin,Mammal
tapir,Mammal
tarantula,Invertebrate
tarantula_gazelle,Reptile
tarsier,Mammal
tasmanian_devil,Mammal
termite,Bug
tiger,Mammal
tiger_dolphin,Mammal
tiger_shark,Fish
toad,Amphibian
tortoise,Reptile
tuatara,Reptile
tuna,Fish
umbrellabird,Bird
vicuña,Mammal
vole,Mammal
vulture,Bird
wallaby,Mammal
wallaroo,Mammal
walrus,Mammal
wasp,Bug
weasel,Mammal
white_rhinoceros,Mammal
wildebeest,Mammal
wolf,Mammal
wolverine,Mammal
wombat,Mammal
worm,Invertebrate
wren,Bird
xerus,Mammal
yak,Mammal
zebra,Mammal
